"","dataset","sampleID","G.check","XIST_214218_s_at_129641","XIST_221728_x_at_122150","XIST_224588_at_119311","XIST_224589_at_119310","XIST_224590_at_119309","XIST_227671_at_116233","KDM5D_206700_s_at_137012","RPS4Y1_201909_at_141801","G.kmean","KMvsGEO","medianFemale","medianMale","medianF_M","G.medianF_M","Kmean.Median"
"1","GSE10327","GSE10327_Biomat_1","male",3.99073929266396,4.4972172495785,4.99521884891238,4.34864912101246,3.79600754337392,4.73864790524081,8.31274290661897,11.5736001077976,"male","male",4.42293318529548,9.94317150720828,-5.5202383219128,"male","male"
"2","GSE10327","GSE10327_Biomat_10","female",4.30240995618719,5.8344926981628,7.63694886942372,3.54483759374039,3.41265598837569,5.53389761190338,4.55450807954923,6.27944304883877,"male","disagree",4.91815378404528,5.416975564194,-0.498821780148715,"male","male"
"3","GSE10327","GSE10327_Biomat_11","male",3.20752898092477,4.3339660338128,4.57612225289907,2.87155072908658,2.80712182147734,3.54956826013406,8.32806036620001,11.7435051574727,"male","male",3.37854862052941,10.0357827618364,-6.65723414130694,"male","male"
"4","GSE10327","GSE10327_Biomat_12","male",3.83130405234473,4.63720300564628,4.86578376793576,3.61280558172601,3.490778599419,3.93439412079172,7.95246738365588,12.6131806324731,"male","male",3.88284908656822,10.2828240080645,-6.39997492149626,"male","male"
"5","GSE10327","GSE10327_Biomat_13","female",4.37154056062888,5.15282752903229,7.45712655565445,3.95847827095614,3.60378623053546,5.32156182508228,4.03587994239677,5.81275339227343,"male","disagree",4.76218404483058,4.9243166673351,-0.162132622504515,"male","male"
"6","GSE10327","GSE10327_Biomat_14","male",3.65363044858224,4.56412664110228,5.12023118112138,3.63264120048303,3.43408656367205,3.94075258575146,7.910986362371,11.9154229267425,"male","male",3.79719151716685,9.91320464455675,-6.1160131273899,"male","male"
"7","GSE10327","GSE10327_Biomat_15","male",3.73090397572247,4.47994288694932,4.69726695690064,3.51466867071413,3.44357452775238,3.66646659904248,5.53198527572608,8.27518346844836,"male","male",3.69868528738247,6.90358437208722,-3.20489908470475,"male","male"
"8","GSE10327","GSE10327_Biomat_16","male",2.91051611795994,3.85078499560325,4.84503915554172,3.16385562036275,2.65420318725384,3.80367494403875,8.09390936688495,11.9846008877632,"male","male",3.48376528220075,10.0392551273241,-6.55548984512333,"male","male"
"9","GSE10327","GSE10327_Biomat_17","male",2.79879846413465,3.91646067511373,3.93554058829817,3.18728090381908,2.56355919332673,3.32615288184405,7.58903820488479,12.3317298935487,"male","male",3.25671689283157,9.96038404921675,-6.70366715638518,"male","male"
"10","GSE10327","GSE10327_Biomat_18","male",3.45139947616736,4.18830729308862,4.73344108683671,3.67507644192778,3.36224957722085,3.446096182422,8.40607199520518,12.2493442076983,"male","male",3.56323795904757,10.3277081014517,-6.76447014240417,"male","male"
"11","GSE10327","GSE10327_Biomat_19","male",3.67314835328596,4.50114754926707,4.81519383198967,3.58844477713529,3.5223898277811,4.16139208666985,7.96149821225009,11.6564975359841,"male","male",3.91727021997791,9.80899787411709,-5.89172765413919,"male","male"
"12","GSE10327","GSE10327_Biomat_2","female",10.5392678528844,11.5659242584177,12.707174749778,10.1343608507639,9.89240219099033,11.2441630864919,4.55338150915509,6.17167464629415,"female","female",10.8917154696882,5.36252807772462,5.52918739196353,"female","female"
"13","GSE10327","GSE10327_Biomat_20","female",11.5502540798872,12.8602580344805,13.8312773485619,10.82344325336,10.5641210106226,12.6152964132007,4.29253646424617,5.99738986182808,"female","female",12.0827752465439,5.14496316303712,6.93781208350682,"female","female"
"14","GSE10327","GSE10327_Biomat_21","male",3.61839173033237,4.54539069482136,5.21670861157951,3.59239462763502,3.18759544303184,3.73585814662009,8.83452191694279,12.0786255706393,"male","male",3.67712493847623,10.456573743791,-6.77944880531482,"male","male"
