"","dataset","sampleID","G.check","XIST_214218_s_at_8687","XIST_221728_x_at_1196","KDM5D_206700_s_at_16058","RPS4Y1_201909_at_20847","G.kmean","KMvsGEO","medianFemale","medianMale","medianF_M","G.medianF_M","Kmean.Median"
"bahn_A-49","stanley_bahn","bahn_A-49","male",3.593435919,4.543489455,7.312157126,9.342282616,"male","male",4.068462687,8.327219871,-4.258757184,"male","male"
"bahn_A-5","stanley_bahn","bahn_A-5","male",3.43725404,5.038576443,7.543105113,9.329523039,"male","male",4.2379152415,8.436314076,-4.1983988345,"male","male"
"bahn_A-51","stanley_bahn","bahn_A-51","male",3.368473986,4.490747216,7.473163386,9.321518094,"male","male",3.929610601,8.39734074,-4.467730139,"male","male"
"bahn_A-52","stanley_bahn","bahn_A-52","male",3.476712614,4.463293825,6.964890685,9.386846291,"male","male",3.9700032195,8.175868488,-4.2058652685,"male","male"
"bahn_A-53","stanley_bahn","bahn_A-53","female",8.627822372,9.03391911,5.765588025,5.418552267,"female","female",8.830870741,5.592070146,3.238800595,"female","female"
"bahn_A-54","stanley_bahn","bahn_A-54","male",5.927213336,5.751782166,7.715373362,9.485757454,"male","male",5.839497751,8.600565408,-2.761067657,"male","male"
"bahn_A-55","stanley_bahn","bahn_A-55","male",3.652508392,4.979147529,7.430008729,9.003253694,"male","male",4.3158279605,8.2166312115,-3.900803251,"male","male"
"bahn_A-56","stanley_bahn","bahn_A-56","female",9.446191147,9.711219496,5.413226824,5.364907219,"female","female",9.5787053215,5.3890670215,4.1896383,"female","female"
"bahn_A-57","stanley_bahn","bahn_A-57","male",3.456577267,4.651942136,7.149207217,9.432608687,"male","male",4.0542597015,8.290907952,-4.2366482505,"male","male"
"bahn_A-58","stanley_bahn","bahn_A-58","female",9.168217228,9.689550662,5.52933796,5.77407636,"female","female",9.428883945,5.65170716,3.777176785,"female","female"
"bahn_A-6","stanley_bahn","bahn_A-6","female",9.266715951,9.385366288,5.607449116,6.132884717,"female","female",9.3260411195,5.8701669165,3.455874203,"female","female"
"bahn_A-60","stanley_bahn","bahn_A-60","male",5.762037054,4.434017364,7.639053591,9.533865137,"male","male",5.098027209,8.586459364,-3.488432155,"male","male"
"bahn_A-61","stanley_bahn","bahn_A-61","female",10.02247764,10.66226564,5.173917342,5.975429421,"female","female",10.34237164,5.5746733815,4.7676982585,"female","female"
"bahn_A-62","stanley_bahn","bahn_A-62","female",6.748906742,9.831251339,4.687457571,5.815025051,"female","female",8.2900790405,5.251241311,3.0388377295,"female","female"
"bahn_A-63","stanley_bahn","bahn_A-63","female",6.920361903,9.310613781,5.156358927,5.404770189,"female","female",8.115487842,5.280564558,2.834923284,"female","female"
"bahn_A-65","stanley_bahn","bahn_A-65","male",3.234184023,4.586619913,7.599319306,9.607088871,"male","male",3.910401968,8.6032040885,-4.6928021205,"male","male"
"bahn_A-66","stanley_bahn","bahn_A-66","male",3.380813269,4.956867804,7.56918684,9.633633617,"male","male",4.1688405365,8.6014102285,-4.432569692,"male","male"
"bahn_A-67","stanley_bahn","bahn_A-67","male",3.502913241,4.641875583,7.445540759,9.394311179,"male","male",4.072394412,8.419925969,-4.347531557,"male","male"
"bahn_A-68","stanley_bahn","bahn_A-68","female",8.366387012,9.344834474,5.039434557,5.630771846,"female","female",8.855610743,5.3351032015,3.5205075415,"female","female"
"bahn_A-69","stanley_bahn","bahn_A-69","female",8.889921589,9.157899437,5.210241609,5.715316551,"female","female",9.023910513,5.46277908,3.561131433,"female","female"
"bahn_A-7","stanley_bahn","bahn_A-7","male",3.621236437,4.613711086,7.474993205,9.016006222,"male","male",4.1174737615,8.2454997135,-4.128025952,"male","male"
"bahn_A-70","stanley_bahn","bahn_A-70","male",3.241573711,4.836074592,7.437329933,9.349432227,"male","male",4.0388241515,8.39338108,-4.3545569285,"male","male"
"bahn_A-71","stanley_bahn","bahn_A-71","female",9.009419178,9.189387019,5.028671493,5.38955779,"female","female",9.0994030985,5.2091146415,3.890288457,"female","female"
"bahn_A-72","stanley_bahn","bahn_A-72","female",9.353285555,9.281776758,5.847996486,5.887226643,"female","female",9.3175311565,5.8676115645,3.449919592,"female","female"
"bahn_A-73","stanley_bahn","bahn_A-73","male",5.713935136,4.872120755,7.267344553,9.363929094,"male","male",5.2930279455,8.3156368235,-3.022608878,"male","male"
"bahn_A-74","stanley_bahn","bahn_A-74","female",7.094145608,9.317586404,5.293035125,5.305292872,"female","female",8.205866006,5.2991639985,2.9067020075,"female","female"
"bahn_A-75","stanley_bahn","bahn_A-75","female",6.934471041,10.06331529,4.99293937,5.380037288,"female","female",8.4988931655,5.186488329,3.3124048365,"female","female"
"bahn_A-76","stanley_bahn","bahn_A-76","female",9.522598931,9.625371174,5.624765842,5.995662064,"female","female",9.5739850525,5.810213953,3.7637710995,"female","female"
"bahn_A-77","stanley_bahn","bahn_A-77","female",6.710101883,9.134258078,4.903745267,5.865022208,"female","female",7.9221799805,5.3843837375,2.537796243,"female","female"
"bahn_A-78","stanley_bahn","bahn_A-78","female",6.174596447,9.283089261,5.841616829,5.713735256,"female","female",7.728842854,5.7776760425,1.9511668115,"female","female"
"bahn_A-79","stanley_bahn","bahn_A-79","male",5.856526937,4.859909069,7.572576733,9.40496482,"male","male",5.358218003,8.4887707765,-3.1305527735,"male","male"
"bahn_A-8","stanley_bahn","bahn_A-8","male",3.699757574,5.492023432,7.238521842,9.035102838,"male","male",4.595890503,8.13681234,-3.540921837,"male","male"
"bahn_A-80","stanley_bahn","bahn_A-80","male",5.949160501,4.740688785,7.146692483,9.446617813,"male","male",5.344924643,8.296655148,-2.951730505,"male","male"
"bahn_A-81","stanley_bahn","bahn_A-81","female",7.483347552,10.58126919,4.690837261,5.117331179,"female","female",9.032308371,4.90408422,4.128224151,"female","female"
"bahn_A-82","stanley_bahn","bahn_A-82","male",3.453001049,5.227536657,7.519830524,9.161916929,"male","male",4.340268853,8.3408737265,-4.0006048735,"male","male"
"bahn_A-83","stanley_bahn","bahn_A-83","male",3.277434867,4.581126238,7.550101133,9.475914419,"male","male",3.9292805525,8.513007776,-4.5837272235,"male","male"
"bahn_A-84","stanley_bahn","bahn_A-84","male",3.481716882,5.390116278,7.63074467,9.328526024,"male","male",4.43591658,8.479635347,-4.043718767,"male","male"
"bahn_A-85","stanley_bahn","bahn_A-85","male",3.330971248,4.786183801,7.540570048,9.421707634,"male","male",4.0585775245,8.481138841,-4.4225613165,"male","male"
"bahn_A-86","stanley_bahn","bahn_A-86","male",3.290723605,5.015823661,7.003064741,9.504233939,"male","male",4.153273633,8.25364934,-4.100375707,"male","male"
"bahn_A-87","stanley_bahn","bahn_A-87","male",5.752846738,5.203193693,7.192070255,9.379574069,"male","male",5.4780202155,8.285822162,-2.8078019465,"male","male"
"bahn_A-88","stanley_bahn","bahn_A-88","male",5.684520338,4.627716428,7.829940098,9.397549543,"male","male",5.156118383,8.6137448205,-3.4576264375,"male","male"
