"","dataset","sampleID","G.check","XIST_214218_s_at_8687","XIST_221728_x_at_1196","KDM5D_206700_s_at_16058","RPS4Y1_201909_at_20847","G.kmean","KMvsGEO","medianFemale","medianMale","medianF_M","G.medianF_M","Kmean.Median"
"GSE10172_Biomat_16","GSE10172","GSE10172_Biomat_16","male",4.75348741833565,5.92479219313197,8.51562413876508,11.0779532517795,"male","male",5.33913980573381,9.79678869527229,-4.45764888953848,"male","male"
"GSE10172_Biomat_17","GSE10172","GSE10172_Biomat_17","male",4.85405640033747,6.21884307881472,8.53695629598655,11.9595975380373,"male","male",5.53644973957609,10.2482769170119,-4.71182717743583,"male","male"
"GSE10172_Biomat_18","GSE10172","GSE10172_Biomat_18","female",6.8975623246016,7.54279168917086,6.45927604477762,7.48353088088199,"female","female",7.22017700688623,6.97140346282981,0.248773544056425,"female","female"
"GSE10172_Biomat_19","GSE10172","GSE10172_Biomat_19","female",7.8088174540183,9.01061180329419,6.45954344721037,7.11753353409765,"female","female",8.40971462865624,6.78853849065401,1.62117613800223,"female","female"
"GSE10172_Biomat_2","GSE10172","GSE10172_Biomat_2","male",4.32681770430138,5.51238016655813,9.26302347694831,12.3763111879614,"male","male",4.91959893542976,10.8196673324549,-5.9000683970251,"male","male"
"GSE10172_Biomat_20","GSE10172","GSE10172_Biomat_20","female",8.3839624888065,9.36960977123323,6.76183229047448,7.6225619290843,"female","female",8.87678613001987,7.19219710977939,1.68458902024048,"female","female"
"GSE10172_Biomat_21","GSE10172","GSE10172_Biomat_21","male",4.49144127483876,5.86971550255004,8.44242481710349,11.9399300688934,"male","male",5.1805783886944,10.1911774429984,-5.01059905430404,"male","male"
"GSE10172_Biomat_22","GSE10172","GSE10172_Biomat_22","female",6.37198533532508,7.63983533784316,6.70075555363033,7.1397567852611,"female","female",7.00591033658412,6.92025616944571,0.0856541671384061,"female","female"
"GSE10172_Biomat_23","GSE10172","GSE10172_Biomat_23","male",4.57574816680288,5.77756595228256,8.51900370533975,12.354273565834,"male","male",5.17665705954272,10.4366386355869,-5.25998157604415,"male","male"
"GSE10172_Biomat_24","GSE10172","GSE10172_Biomat_24","female",5.90731621590661,7.29816111715386,6.60956536180421,7.67805221922021,"female","female",6.60273866653024,7.14380879051221,-0.541070123981975,"male","disagree"
"GSE10172_Biomat_25","GSE10172","GSE10172_Biomat_25","male",4.66436245060262,5.99537168459354,8.69041638684642,11.6935052117979,"male","male",5.32986706759808,10.1919607993222,-4.86209373172408,"male","male"
"GSE10172_Biomat_26","GSE10172","GSE10172_Biomat_26","female",5.80785314661047,6.8960094035932,7.38815109436277,9.3750734336078,"female","female",6.35193127510184,8.38161226398529,-2.02968098888345,"male","disagree"
"GSE10172_Biomat_27","GSE10172","GSE10172_Biomat_27","male",4.85009397190864,5.95485229517221,8.50404875781401,12.0530185046806,"male","male",5.40247313354043,10.2785336312473,-4.87606049770688,"male","male"
"GSE10172_Biomat_28","GSE10172","GSE10172_Biomat_28","male",5.40257582722996,6.46313134519579,8.22779657567066,11.8859909518841,"male","male",5.93285358621288,10.0568937637774,-4.1240401775645,"male","male"
"GSE10172_Biomat_29","GSE10172","GSE10172_Biomat_29","female",6.46685844924555,7.63669579776694,6.61189205663442,7.14167604685331,"female","female",7.05177712350624,6.87678405174386,0.17499307176238,"female","female"
"GSE10172_Biomat_3","GSE10172","GSE10172_Biomat_3","male",4.71791120196687,5.84413370575855,8.76336168904237,12.4851422475368,"male","male",5.28102245386271,10.6242519682896,-5.34322951442688,"male","male"
"GSE10172_Biomat_30","GSE10172","GSE10172_Biomat_30","female",5.84026784032264,6.99367390179495,7.13724845053595,7.71276016167739,"female","female",6.41697087105879,7.42500430610667,-1.00803343504788,"male","disagree"
"GSE10172_Biomat_31","GSE10172","GSE10172_Biomat_31","male",4.41134667953378,5.69081458333835,7.91565304967799,10.8583314888374,"male","male",5.05108063143607,9.3869922692577,-4.33591163782163,"male","male"
"GSE10172_Biomat_32","GSE10172","GSE10172_Biomat_32","male",4.61446667578582,5.82601546152183,8.65887996592665,12.7373063529554,"male","male",5.22024106865383,10.698093159441,-5.4778520907872,"male","male"
"GSE10172_Biomat_33","GSE10172","GSE10172_Biomat_33","male",4.60477816450988,5.95056388620599,8.8651714080117,11.8675975071511,"male","male",5.27767102535794,10.3663844575814,-5.08871343222347,"male","male"
"GSE10172_Biomat_34","GSE10172","GSE10172_Biomat_34","male",4.99971617980137,6.19277092390098,9.25083062655196,11.6822045555868,"male","male",5.59624355185117,10.4665175910694,-4.8702740392182,"male","male"
"GSE10172_Biomat_35","GSE10172","GSE10172_Biomat_35","female",8.00006528391224,9.15085654713151,6.69292263021205,7.5020196779542,"female","female",8.57546091552188,7.09747115408313,1.47798976143875,"female","female"
"GSE10172_Biomat_36","GSE10172","GSE10172_Biomat_36","male",5.16620158474531,6.26812692026427,8.54115845477058,12.3381828222784,"male","male",5.71716425250479,10.4396706385245,-4.7225063860197,"male","male"
"GSE10172_Biomat_4","GSE10172","GSE10172_Biomat_4","male",4.60532171082472,5.92644820082536,8.50183977787045,12.290858566453,"male","male",5.26588495582504,10.3963491721617,-5.13046421633668,"male","male"
"GSE10172_Biomat_5","GSE10172","GSE10172_Biomat_5","male",4.71116288999738,5.97428662245532,8.66101596382007,12.5230109924398,"male","male",5.34272475622635,10.5920134781299,-5.24928872190359,"male","male"
"GSE10172_Biomat_6","GSE10172","GSE10172_Biomat_6","male",4.85622090808962,5.89450837051004,8.41004618234904,12.2043212585393,"male","male",5.37536463929983,10.3071837204442,-4.93181908114434,"male","male"
"GSE10172_Biomat_7","GSE10172","GSE10172_Biomat_7","male",4.48528547772066,5.68985956288493,8.73058236862309,12.2392426770901,"male","male",5.08757252030279,10.4849125228566,-5.3973400025538,"male","male"
"GSE10172_Biomat_8","GSE10172","GSE10172_Biomat_8","male",4.70721498650378,5.79023602065426,8.36240989287944,12.1527517455113,"male","male",5.24872550357902,10.2575808191954,-5.00885531561635,"male","male"
"GSE10172_Biomat_9","GSE10172","GSE10172_Biomat_9","female",7.89760252278004,8.71489575308012,6.74742105141674,7.51618732031697,"female","female",8.30624913793008,7.13180418586686,1.17444495206322,"female","female"
"GSE10867_Biomat_1","GSE10867","GSE10867_Biomat_1","male",2.74250492191359,4.32986377451067,6.69867320838388,9.10413743671561,"male","male",3.53618434821213,7.90140532254974,-4.36522097433761,"male","male"
"GSE10867_Biomat_10","GSE10867","GSE10867_Biomat_10","male",3.30168516422462,4.01427204100045,6.99412021059804,8.97868672378953,"male","male",3.65797860261254,7.98640346719378,-4.32842486458125,"male","male"
"GSE10867_Biomat_11","GSE10867","GSE10867_Biomat_11","female",6.52974318879144,6.65032470555597,1.21860109084912,4.18478372142737,"female","female",6.59003394717371,2.70169240613824,3.88834154103547,"female","female"
"GSE10867_Biomat_12","GSE10867","GSE10867_Biomat_12","male",2.98840884437511,0.868069181799444,6.57640354605358,8.55903917923529,"male","male",1.92823901308728,7.56772136264444,-5.63948234955716,"male","male"
"GSE10867_Biomat_13","GSE10867","GSE10867_Biomat_13","male",3.20242728204296,3.37388634423366,6.18471450567133,8.95613580906786,"male","male",3.28815681313831,7.57042515736959,-4.28226834423128,"male","male"
"GSE10867_Biomat_14","GSE10867","GSE10867_Biomat_14","female",4.57608702659566,5.44646484306836,1.60213234894665,3.22449181773748,"female","female",5.01127593483201,2.41331208334206,2.59796385148995,"female","female"
"GSE10867_Biomat_15","GSE10867","GSE10867_Biomat_15","male",3.83230137576007,3.03807177436566,7.21320261610987,8.61366811462991,"male","male",3.43518657506287,7.91343536536989,-4.47824879030702,"male","male"
"GSE10867_Biomat_16","GSE10867","GSE10867_Biomat_16","female",5.10053472448842,5.96843870840552,2.21233276104431,1.53579020633163,"female","female",5.53448671644697,1.87406148368797,3.660425232759,"female","female"
"GSE10867_Biomat_17","GSE10867","GSE10867_Biomat_17","female",7.36278261704077,7.68597167552809,1.79957952105246,3.620810538588,"female","female",7.52437714628443,2.71019502982023,4.8141821164642,"female","female"
"GSE10867_Biomat_18","GSE10867","GSE10867_Biomat_18","male",6.88951832184417,7.60104238706079,2.18262016096072,3.82587052828194,"female","disagree",7.24528035445248,3.00424534462133,4.24103500983115,"female","female"
"GSE10867_Biomat_19","GSE10867","GSE10867_Biomat_19","female",7.1891169707419,7.59971687519614,3.63146764670941,3.44993028761962,"female","female",7.39441692296902,3.54069896716451,3.85371795580451,"female","female"
"GSE10867_Biomat_2","GSE10867","GSE10867_Biomat_2","male",1.9275363985686,3.61819166150627,6.93366097466306,8.55531078592856,"male","male",2.77286403003744,7.74448588029581,-4.97162185025838,"male","male"
"GSE10867_Biomat_20","GSE10867","GSE10867_Biomat_20","female",6.84790623432984,7.20266601850764,2.51764129762347,4.5702379477803,"female","female",7.02528612641874,3.54393962270189,3.48134650371685,"female","female"
"GSE10867_Biomat_3","GSE10867","GSE10867_Biomat_3","male",3.31469594567826,3.85183012984026,7.10005890876827,8.88669721985574,"male","male",3.58326303775926,7.993378064312,-4.41011502655275,"male","male"
"GSE10867_Biomat_4","GSE10867","GSE10867_Biomat_4","male",3.02903706819186,3.69554128581898,6.3187565432055,8.9582947471951,"male","male",3.36228917700542,7.6385256452003,-4.27623646819488,"male","male"
"GSE10867_Biomat_5","GSE10867","GSE10867_Biomat_5","male",3.58855334450276,3.594318332947,5.72901689435471,9.30848636410477,"male","male",3.59143583872488,7.51875162922974,-3.92731579050486,"male","male"
"GSE10867_Biomat_6","GSE10867","GSE10867_Biomat_6","female",7.08831653678663,7.93540803262602,2.09141050457844,3.91145488378146,"female","female",7.51186228470632,3.00143269417995,4.51042959052637,"female","female"
"GSE10867_Biomat_7","GSE10867","GSE10867_Biomat_7","female",7.42252681725946,8.1393229075983,1.04374169883015,2.21642646107897,"female","female",7.78092486242888,1.63008407995456,6.15084078247432,"female","female"
"GSE10867_Biomat_8","GSE10867","GSE10867_Biomat_8","female",6.66370026760434,7.10992846699232,1.44217995891495,4.74840326641377,"female","female",6.88681436729833,3.09529161266436,3.79152275463397,"female","female"
"GSE10867_Biomat_9","GSE10867","GSE10867_Biomat_9","female",6.72553490616108,7.59130690797283,2.86545733561043,2.76774991552366,"female","female",7.15842090706696,2.81660362556704,4.34181728149991,"female","female"
"GSE1147_bioMaterial_10|GSM19201","GSE1147","GSE1147_bioMaterial_10|GSM19201","male",6.18827706390201,6.90440555752736,9.48232132178213,11.3518994418594,"male","male",6.54634131071469,10.4171103818207,-3.87076907110606,"male","male"
"GSE1147_bioMaterial_11|GSM19202","GSE1147","GSE1147_bioMaterial_11|GSM19202","male",6.83766906430399,6.48700111535439,10.1168863532889,11.3353660797717,"male","male",6.66233508982919,10.7261262165303,-4.06379112670112,"male","male"
"GSE1147_bioMaterial_12|GSM19203","GSE1147","GSE1147_bioMaterial_12|GSM19203","male",6.35264800145674,7.16425110650792,10.2221911384563,11.2541890719365,"male","male",6.75844955398233,10.7381901051964,-3.97974055121406,"male","male"
"GSE1147_bioMaterial_13|GSM19204","GSE1147","GSE1147_bioMaterial_13|GSM19204","male",6.35586813308629,7.59463292584197,9.4133519823803,11.5893499006284,"male","male",6.97525052946413,10.5013509415043,-3.52610041204021,"male","male"
"GSE1147_bioMaterial_14|GSM19205","GSE1147","GSE1147_bioMaterial_14|GSM19205","male",6.43441066485839,7.33263010787978,9.57516925651042,11.3982789810175,"male","male",6.88352038636908,10.4867241187639,-3.60320373239486,"male","male"
"GSE1147_bioMaterial_15|GSM19206","GSE1147","GSE1147_bioMaterial_15|GSM19206","female",11.1252814986482,11.7967732232453,4.91023210269791,7.37685205230474,"female","female",11.4610273609467,6.14354207750132,5.31748528344542,"female","female"
"GSE1147_bioMaterial_16|GSM19207","GSE1147","GSE1147_bioMaterial_16|GSM19207","female",10.0614592468813,11.23506466959,7.30352267562547,7.87324348277243,"female","female",10.6482619582357,7.58838307919895,3.05987887903671,"female","female"
"GSE1147_bioMaterial_17|GSM19208","GSE1147","GSE1147_bioMaterial_17|GSM19208","female",10.2556392734961,11.0060333077583,5.39142106050023,7.34541488940215,"female","female",10.6308362906272,6.36841797495119,4.26241831567602,"female","female"
"GSE1147_bioMaterial_18|GSM19209","GSE1147","GSE1147_bioMaterial_18|GSM19209","female",10.5138091115397,11.1510082636876,5.50793249267034,6.7996617282402,"female","female",10.8324086876137,6.15379711045527,4.6786115771584,"female","female"
"GSE1147_bioMaterial_19|GSM19210","GSE1147","GSE1147_bioMaterial_19|GSM19210","female",10.4069259185579,11.4292839227601,5.0294912967094,7.67974015894613,"female","female",10.918104920659,6.35461572782776,4.56348919283123,"female","female"
"GSE1147_bioMaterial_1|GSM19192","GSE1147","GSE1147_bioMaterial_1|GSM19192","male",5.67156414164863,6.11360629133759,9.58486040421911,11.4428646357374,"male","male",5.89258521649311,10.5138625199782,-4.62127730348514,"male","male"
"GSE1147_bioMaterial_20|GSM19211","GSE1147","GSE1147_bioMaterial_20|GSM19211","female",11.2217368360535,12.3857932505088,5.9412900664447,6.83079763520351,"female","female",11.8037650432811,6.3860438508241,5.41772119245701,"female","female"
"GSE1147_bioMaterial_21|GSM19212","GSE1147","GSE1147_bioMaterial_21|GSM19212","female",11.2857565162142,12.3822633664697,5.55758856521486,5.61330102466376,"female","female",11.834009941342,5.58544479493931,6.24856514640267,"female","female"
"GSE1147_bioMaterial_22|GSM19213","GSE1147","GSE1147_bioMaterial_22|GSM19213","female",10.5199054191419,11.596752882411,7.10383513036512,6.54064188637062,"female","female",11.0583291507765,6.82223850836787,4.2360906424086,"female","female"
"GSE1147_bioMaterial_23|GSM19214","GSE1147","GSE1147_bioMaterial_23|GSM19214","female",10.5528194313171,11.7115229624385,4.69536448116926,6.73950180118395,"female","female",11.1321711968778,5.71743314117661,5.41473805570119,"female","female"
"GSE1147_bioMaterial_2|GSM19193","GSE1147","GSE1147_bioMaterial_2|GSM19193","male",6.77724816692677,7.36076122111631,9.47031403947933,11.6089819534224,"male","male",7.06900469402154,10.5396479964509,-3.47064330242935,"male","male"
"GSE1147_bioMaterial_3|GSM19194","GSE1147","GSE1147_bioMaterial_3|GSM19194","male",6.05914457072377,6.94174935282017,9.4162926956291,11.4838157772643,"male","male",6.50044696177197,10.4500542364467,-3.9496072746747,"male","male"
"GSE1147_bioMaterial_4|GSM19195","GSE1147","GSE1147_bioMaterial_4|GSM19195","male",6.66805250898367,7.33313590029692,9.47785503522996,11.4068704764888,"male","male",7.0005942046403,10.4423627558594,-3.4417685512191,"male","male"
"GSE1147_bioMaterial_5|GSM19196","GSE1147","GSE1147_bioMaterial_5|GSM19196","male",7.0267519558797,7.05197729077752,9.4562026149782,11.0895771363336,"male","male",7.03936462332861,10.2728898756559,-3.23352525232727,"male","male"
"GSE1147_bioMaterial_6|GSM19197","GSE1147","GSE1147_bioMaterial_6|GSM19197","male",7.02547662931006,7.1629166854165,9.17696445990213,11.080174487579,"male","male",7.09419665736328,10.1285694737406,-3.03437281637728,"male","male"
"GSE1147_bioMaterial_7|GSM19198","GSE1147","GSE1147_bioMaterial_7|GSM19198","male",7.14585463604215,7.11925692382916,10.0252900483629,11.1859796283877,"male","male",7.13255577993565,10.6056348383753,-3.47307905843965,"male","male"
"GSE1147_bioMaterial_8|GSM19199","GSE1147","GSE1147_bioMaterial_8|GSM19199","male",6.89923869130537,7.07851052274022,9.97797048952037,11.5681750621662,"male","male",6.98887460702279,10.7730727758433,-3.78419816882051,"male","male"
"GSE1147_bioMaterial_9|GSM19200","GSE1147","GSE1147_bioMaterial_9|GSM19200","male",5.68064235468403,6.39887378417614,9.51769506015834,11.3994102906937,"male","male",6.03975806943009,10.458552675426,-4.41879460599594,"male","male"
"GSE14795_Biomat_1","GSE14795","GSE14795_Biomat_1","male",10.5745095965398,10.9920789955192,4.49735581089114,5.81545648261437,"female","disagree",10.7832942960295,5.15640614675275,5.62688814927673,"female","female"
"GSE14795_Biomat_10","GSE14795","GSE14795_Biomat_10","male",5.0070997415203,5.35188911095275,9.81247185342791,13.0591796868866,"male","male",5.17949442623653,11.4358257701573,-6.25633134392074,"male","male"
"GSE14795_Biomat_11","GSE14795","GSE14795_Biomat_11","male",3.1846382404523,4.73999929696269,9.7844156805148,12.6850042661216,"male","male",3.96231876870749,11.2347099733182,-7.27239120461072,"male","male"
"GSE14795_Biomat_12","GSE14795","GSE14795_Biomat_12","female",9.62036202651879,9.93149699791994,6.57889192607004,6.57625594853683,"female","female",9.77592951221937,6.57757393730344,3.19835557491593,"female","female"
"GSE14795_Biomat_13","GSE14795","GSE14795_Biomat_13","male",3.2683628903535,3.88528886261717,9.82625397355978,12.4545548282901,"male","male",3.57682587648533,11.1404044009249,-7.5635785244396,"male","male"
"GSE14795_Biomat_14","GSE14795","GSE14795_Biomat_14","male",6.3131949474906,5.08390725512734,10.2855004976471,13.45034384564,"male","male",5.69855110130897,11.8679221716436,-6.16937107033462,"male","male"
"GSE14795_Biomat_15","GSE14795","GSE14795_Biomat_15","male",4.86851066589975,6.57889192607004,9.54416485864702,13.1236046852533,"male","male",5.7237012959849,11.3338847719502,-5.61018347596526,"male","male"
"GSE14795_Biomat_16","GSE14795","GSE14795_Biomat_16","male",4.79100930574134,6.33556799282674,10.4744925887607,13.3725016446323,"male","male",5.56328864928404,11.9234971166965,-6.36020846741248,"male","male"
"GSE14795_Biomat_17","GSE14795","GSE14795_Biomat_17","male",3.33015827486158,7.24720749689809,9.08535257918925,13.0519685917848,"male","male",5.28868288587983,11.068660585487,-5.77997769960719,"male","male"
"GSE14795_Biomat_18","GSE14795","GSE14795_Biomat_18","male",4.67326244521467,6.79784569271203,8.52947817399492,13.0731320978333,"male","male",5.73555406896335,10.8013051359141,-5.06575106695074,"male","male"
"GSE14795_Biomat_19","GSE14795","GSE14795_Biomat_19","male",6.74060404206342,6.78558214877963,9.66107272727245,12.6058727899727,"male","male",6.76309309542153,11.1334727586226,-4.37037966320107,"male","male"
"GSE14795_Biomat_2","GSE14795","GSE14795_Biomat_2","female",11.5289694471198,11.846610474805,4.36754374971114,6.19695015633301,"female","female",11.6877899609624,5.28224695302207,6.40554300794036,"female","female"
"GSE14795_Biomat_20","GSE14795","GSE14795_Biomat_20","male",4.24118278433137,6.89423181003242,9.36987605023615,13.2435509042945,"male","male",5.56770729718189,11.3067134772653,-5.73900618008344,"male","male"
"GSE14795_Biomat_21","GSE14795","GSE14795_Biomat_21","male",3.39335731582764,6.03350710587713,9.76224802268334,13.3448606647572,"male","male",4.71343221085238,11.5535543437203,-6.84012213286788,"male","male"
"GSE14795_Biomat_22","GSE14795","GSE14795_Biomat_22","male",4.1857087872824,6.10000696863517,9.27460801398227,12.7170622460833,"male","male",5.14285787795879,10.9958351300328,-5.85297725207398,"male","male"
"GSE14795_Biomat_23","GSE14795","GSE14795_Biomat_23","female",9.66785129136568,10.3262525323426,5.22553362831472,6.90451483322662,"female","female",9.99705191185412,6.06502423077067,3.93202768108345,"female","female"
"GSE14795_Biomat_24","GSE14795","GSE14795_Biomat_24","male",3.59843534425639,4.90394107380069,8.40960650882179,13.1598483614684,"male","male",4.25118820902854,10.7847274351451,-6.53353922611653,"male","male"
"GSE14795_Biomat_25","GSE14795","GSE14795_Biomat_25","female",10.0500325496475,10.1625551619857,4.84623062351546,8.17759691484468,"female","female",10.1062938558166,6.51191376918007,3.59438008663655,"female","female"
"GSE14795_Biomat_26","GSE14795","GSE14795_Biomat_26","male",2.52671888662559,7.90286042935156,9.37012639928643,13.1835825388415,"male","male",5.21478965798858,11.276854469064,-6.06206481107539,"male","male"
"GSE14795_Biomat_3","GSE14795","GSE14795_Biomat_3","female",11.4816547851958,11.7318254634294,5.74258704616989,5.09549180018027,"female","female",11.6067401243126,5.41903942317508,6.18770070113753,"female","female"
"GSE14795_Biomat_4","GSE14795","GSE14795_Biomat_4","female",11.6384905569449,12.1020300548418,6.19900751843381,4.05159195721767,"female","female",11.8702603058933,5.12529973782574,6.7449605680676,"female","female"
"GSE14795_Biomat_5","GSE14795","GSE14795_Biomat_5","female",10.9995011822717,11.2938203390494,4.71706914438885,7.79080901118459,"female","female",11.1466607606605,6.25393907778672,4.89272168287381,"female","female"
"GSE14795_Biomat_6","GSE14795","GSE14795_Biomat_6","female",9.91981838809889,9.72889274802334,4.75172485216132,6.38901213467987,"female","female",9.82435556806112,5.5703684934206,4.25398707464052,"female","female"
"GSE14795_Biomat_7","GSE14795","GSE14795_Biomat_7","female",10.715004980499,10.7077963180531,3.79858899112699,6.84922220903265,"female","female",10.711400649276,5.32390560007982,5.38749504919622,"female","female"
"GSE14795_Biomat_8","GSE14795","GSE14795_Biomat_8","male",4.61143034199632,7.05658331474568,9.10546810259341,12.8388458090777,"male","male",5.834006828371,10.9721569558355,-5.13815012746454,"male","male"
"GSE14795_Biomat_9","GSE14795","GSE14795_Biomat_9","male",7.16461463913272,4.83876662934605,9.58318027640097,12.8125003824138,"male","male",6.00169063423938,11.1978403294074,-5.196149695168,"male","male"
"GSE14814_Biomat_1","GSE14814","GSE14814_Biomat_1","male",3.19170611615198,4.78567550176024,6.70694446928634,10.1448793446486,"male","male",3.98869080895611,8.42591190696747,-4.43722109801136,"male","male"
"GSE14814_Biomat_10","GSE14814","GSE14814_Biomat_10","male",3.15554268786557,4.77908566075571,5.46432726020678,8.15995162666891,"male","male",3.96731417431064,6.81213944343784,-2.84482526912721,"male","male"
"GSE14814_Biomat_11","GSE14814","GSE14814_Biomat_11","female",5.59538287540432,7.91057693501304,5.19763276825209,6.58889678175252,"female","female",6.75297990520868,5.8932647750023,0.859715130206376,"female","female"
"GSE14814_Biomat_12","GSE14814","GSE14814_Biomat_12","female",6.1720089156529,8.91897221194826,5.05655698999715,6.59064097115741,"female","female",7.54549056380058,5.82359898057728,1.7218915832233,"female","female"
"GSE14814_Biomat_13","GSE14814","GSE14814_Biomat_13","male",3.34822987141124,4.86076714851547,5.8325727319827,8.69640699353623,"male","male",4.10449850996335,7.26448986275946,-3.15999135279611,"male","male"
"GSE14814_Biomat_14","GSE14814","GSE14814_Biomat_14","male",3.36060436819316,4.94955963956904,5.48969296112883,7.62522060978267,"male","male",4.1550820038811,6.55745678545575,-2.40237478157465,"male","male"
"GSE14814_Biomat_15","GSE14814","GSE14814_Biomat_15","male",3.40199021628529,5.1316092871201,6.24365083388989,9.08975524498224,"male","male",4.2667997517027,7.66670303943607,-3.39990328773337,"male","male"
"GSE14814_Biomat_16","GSE14814","GSE14814_Biomat_16","male",3.46432857538315,5.047751494858,6.41531720159699,10.8309144319878,"male","male",4.25604003512058,8.6231158167924,-4.36707578167182,"male","male"
"GSE14814_Biomat_17","GSE14814","GSE14814_Biomat_17","male",3.278864032732,4.77489361212034,6.44477179420288,9.97816063090975,"male","male",4.02687882242617,8.21146621255632,-4.18458739013015,"male","male"
"GSE14814_Biomat_18","GSE14814","GSE14814_Biomat_18","male",3.34333664043928,4.6527736784884,6.30591726308879,9.3574081677877,"male","male",3.99805515946384,7.83166271543825,-3.8336075559744,"male","male"
"GSE14814_Biomat_19","GSE14814","GSE14814_Biomat_19","male",2.9589670722078,4.93835380549326,6.50205833083796,10.30207914602,"male","male",3.94866043885053,8.40206873842898,-4.45340829957845,"male","male"
"GSE14814_Biomat_2","GSE14814","GSE14814_Biomat_2","male",3.07911465550636,4.85723085818308,5.56779931885855,8.57325090110681,"male","male",3.96817275684472,7.07052510998268,-3.10235235313796,"male","male"
"GSE14814_Biomat_20","GSE14814","GSE14814_Biomat_20","male",3.2933969269826,4.86304654120027,6.42881723387758,9.6062985133075,"male","male",4.07822173409143,8.01755787359254,-3.93933613950111,"male","male"
"GSE14814_Biomat_21","GSE14814","GSE14814_Biomat_21","male",3.27915248495203,4.80967706091474,6.17652759456818,9.10501149450652,"male","male",4.04441477293338,7.64076954453735,-3.59635477160397,"male","male"
"GSE14814_Biomat_22","GSE14814","GSE14814_Biomat_22","male",3.44614905589533,4.89190454920125,6.03543994755882,10.4974211932823,"male","male",4.16902680254829,8.26643057042056,-4.09740376787227,"male","male"
"GSE14814_Biomat_23","GSE14814","GSE14814_Biomat_23","male",3.32704991688959,5.19496155855341,6.69040129915602,10.1929263177344,"male","male",4.2610057377215,8.44166380844521,-4.18065807072371,"male","male"
"GSE14814_Biomat_24","GSE14814","GSE14814_Biomat_24","male",3.45153605276917,5.01352003975513,6.60205401225706,10.1258998171412,"male","male",4.23252804626215,8.36397691469913,-4.13144886843698,"male","male"
"GSE14814_Biomat_25","GSE14814","GSE14814_Biomat_25","female",4.90168892625849,8.23615551861723,5.01449536522651,5.97271139473997,"female","female",6.56892222243786,5.49360337998324,1.07531884245462,"female","female"
"GSE14814_Biomat_26","GSE14814","GSE14814_Biomat_26","male",3.28727224565553,4.71159774366383,5.66045591809263,9.03998292282118,"male","male",3.99943499465968,7.3502194204569,-3.35078442579723,"male","male"
"GSE14814_Biomat_27","GSE14814","GSE14814_Biomat_27","male",3.5761970963513,5.12436358010474,6.07261289406378,10.2017560716834,"male","male",4.35028033822802,8.13718448287359,-3.78690414464557,"male","male"
"GSE14814_Biomat_28","GSE14814","GSE14814_Biomat_28","female",4.41209584379793,6.24881257083613,4.65219332605906,6.02030860884922,"female","female",5.33045420731703,5.33625096745414,-0.00579676013710895,"male","disagree"
"GSE14814_Biomat_29","GSE14814","GSE14814_Biomat_29","female",4.56713096883864,6.42502206423287,5.12119234168602,5.88618215129766,"female","female",5.49607651653576,5.50368724649184,-0.00761072995608458,"male","disagree"
"GSE14814_Biomat_3","GSE14814","GSE14814_Biomat_3","male",2.90683616342944,4.72381091406273,4.9714306441,9.52108221848739,"male","male",3.81532353874608,7.24625643129369,-3.43093289254761,"male","male"
"GSE14814_Biomat_30","GSE14814","GSE14814_Biomat_30","female",5.24338181322102,6.89979946301117,4.65327518250334,5.60650581473909,"female","female",6.07159063811609,5.12989049862122,0.94170013949488,"female","female"
"GSE14814_Biomat_31","GSE14814","GSE14814_Biomat_31","male",3.25572234639865,4.92515399771666,5.83718775082093,8.43583393099277,"male","male",4.09043817205766,7.13651084090685,-3.04607266884919,"male","male"
"GSE14814_Biomat_32","GSE14814","GSE14814_Biomat_32","male",3.17111441697022,4.83732411539105,5.39014724932497,10.3733683946606,"male","male",4.00421926618063,7.88175782199279,-3.87753855581215,"male","male"
"GSE14814_Biomat_33","GSE14814","GSE14814_Biomat_33","female",3.81549462610931,5.75211743751784,4.53661382629983,6.3478246784989,"female","female",4.78380603181358,5.44221925239937,-0.65841322058579,"male","disagree"
"GSE14814_Biomat_34","GSE14814","GSE14814_Biomat_34","male",3.41238969923522,5.12537386636523,6.35260972185489,10.3073948881779,"male","male",4.26888178280023,8.33000230501639,-4.06112052221617,"male","male"
"GSE14814_Biomat_35","GSE14814","GSE14814_Biomat_35","male",3.19039582445629,4.89131036809704,5.72579283219036,9.31400404766592,"male","male",4.04085309627667,7.51989843992814,-3.47904534365147,"male","male"
"GSE14814_Biomat_36","GSE14814","GSE14814_Biomat_36","male",3.34813718866702,5.00698793590435,5.93897364251486,9.10942533996516,"male","male",4.17756256228568,7.52419949124001,-3.34663692895433,"male","male"
"GSE14814_Biomat_37","GSE14814","GSE14814_Biomat_37","female",5.27363688084472,7.10909837121131,5.22639847971769,6.61706244923617,"female","female",6.19136762602801,5.92173046447693,0.269637161551085,"female","female"
"GSE14814_Biomat_38","GSE14814","GSE14814_Biomat_38","female",5.50842168246608,7.22070269438403,5.00115133636955,6.37782982144391,"female","female",6.36456218842505,5.68949057890673,0.675071609518325,"female","female"
"GSE14814_Biomat_39","GSE14814","GSE14814_Biomat_39","male",3.05854935296405,4.76419073538921,6.60424006697774,10.3806169090824,"male","male",3.91137004417663,8.49242848803007,-4.58105844385344,"male","male"
